task_name,input_file_name,city
Basant Hill ,basant_hill_.mp3,JALANDHAR
Bashirpura,bashirpura.mp3,JALANDHAR
Basant Nagar ,basant_nagar_.mp3,JALANDHAR
BASTI ADDA ,basti_adda_.mp3,JALANDHAR
Basti Bawa Khel ,basti_bawa_khel_.mp3,JALANDHAR
Basti Bhurey Khan ,basti_bhurey_khan_.mp3,JALANDHAR
Basti Gujan ,basti_gujan_.mp3,JALANDHAR
Basti Mithu ,basti_mithu_.mp3,JALANDHAR
BASTI MITHU ROAD ,basti_mithu_road_.mp3,JALANDHAR
Basti Nau ,basti_nau_.mp3,JALANDHAR
BASTI PEER DAD ROAD ,basti_peer_dad_road_.mp3,JALANDHAR
BASTI SHEIKH ROAD ,basti_sheikh_road_.mp3,JALANDHAR
BASTI SHIEKH ,basti_shiekh_.mp3,JALANDHAR
Batakh Wala Chowk ,batakh_wala_chowk_.mp3,JALANDHAR
BATTIAN MOHALLA ,battian_mohalla_.mp3,JALANDHAR
BAZAR CHARAT SINGH ,bazar_charat_singh_.mp3,JALANDHAR
BAZAR BOHAR WALA ,bazar_bohar_wala_.mp3,JALANDHAR
BAZAR PUNJPEER ,bazar_punjpeer_.mp3,JALANDHAR
BBMB Colony,bbmb_colony.mp3,JALANDHAR
BAZAR SARAFAN ,bazar_sarafan_.mp3,JALANDHAR
Beant Nagar,beant_nagar.mp3,JALANDHAR
BEANT NAGAR ,beant_nagar_.mp3,JALANDHAR
Begumpura Colony Danishmandan ,begumpura_colony_danishmandan_.mp3,JALANDHAR
BHAG JAWAND LAL ,bhag_jawand_lal_.mp3,JALANDHAR
Bhagat Singh Chowk ,bhagat_singh_chowk_.mp3,JALANDHAR
Bhagat Singh Colony ,bhagat_singh_colony_.mp3,JALANDHAR
Bhagat Singh Nagar ,bhagat_singh_nagar_.mp3,JALANDHAR
BHAGAT SINGH PARK,bhagat_singh_park.mp3,JALANDHAR
Bhagatpura ,bhagatpura_.mp3,JALANDHAR
Bhagwan Dass Pura ,bhagwan_dass_pura_.mp3,JALANDHAR
